,path,gender,age,ethnicity,hsv_color,rgb_color,gray_color,face_bb
39,UTKFace\10_0_0_20170110220548521.jpg.chip.jpg,0,10,0,[ 11  90 215],[215 167 139],[182],"(0, 0, 595, 714)"
40,UTKFace\10_0_0_20170110220557169.jpg.chip.jpg,0,10,0,[ 15  35 243],[243 226 210],[230],"(0, 0, 654, 720)"
41,UTKFace\10_0_0_20170110220644705.jpg.chip.jpg,0,10,0,,,,
42,UTKFace\10_0_0_20170110220654150.jpg.chip.jpg,0,10,0,[ 10  98 209],[209 155 129],[193],"(0, 0, 685, 675)"
43,UTKFace\10_0_0_20170110221714752.jpg.chip.jpg,0,10,0,[  9  63 216],[216 179 163],[87],"(0, 0, 634, 720)"
44,UTKFace\10_0_0_20170110221719390.jpg.chip.jpg,0,10,0,[ 11  75 189],[189 154 133],[172],"(0, 0, 677, 671)"
45,UTKFace\10_0_0_20170110221811823.jpg.chip.jpg,0,10,0,,,,
46,UTKFace\10_0_0_20170110224223937.jpg.chip.jpg,0,10,0,[ 12  73 205],[205 170 146],[180],"(0, 0, 678, 694)"
47,UTKFace\10_0_0_20170110224238891.jpg.chip.jpg,0,10,0,[  8  84 218],[218 165 146],[183],"(0, 0, 628, 653)"
48,UTKFace\10_0_0_20170110224253445.jpg.chip.jpg,0,10,0,[ 10  94 224],[224 169 141],[191],"(0, 0, 629, 652)"
49,UTKFace\10_0_0_20170110224255796.jpg.chip.jpg,0,10,0,[  7  55 178],[178 149 140],[174],"(0, 0, 641, 690)"
50,UTKFace\10_0_0_20170110224402264.jpg.chip.jpg,0,10,0,[  4  32 198],[198 176 173],[147],"(0, 0, 597, 703)"
51,UTKFace\10_0_0_20170110224406532.jpg.chip.jpg,0,10,0,[  9  75 195],[195 155 138],[138],"(0, 0, 698, 679)"
52,UTKFace\10_0_0_20170110224416035.jpg.chip.jpg,0,10,0,[  9  86 226],[226 173 150],[201],"(0, 0, 705, 666)"
53,UTKFace\10_0_0_20170110224500062.jpg.chip.jpg,0,10,0,[ 13  91 228],[228 182 147],[194],"(0, 0, 646, 684)"
54,UTKFace\10_0_0_20170110224524253.jpg.chip.jpg,0,10,0,[  7  84 177],[177 132 119],[158],"(0, 0, 641, 672)"
55,UTKFace\10_0_0_20170110224549512.jpg.chip.jpg,0,10,0,,,,
56,UTKFace\10_0_0_20170110224725285.jpg.chip.jpg,0,10,0,,,,
57,UTKFace\10_0_0_20170110224757882.jpg.chip.jpg,0,10,0,[  5  49 141],[141 118 114],[117],"(0, 0, 586, 720)"
58,UTKFace\10_0_0_20170110225013755.jpg.chip.jpg,0,10,0,[  8  53 239],[239 203 189],[217],"(0, 0, 650, 710)"
59,UTKFace\10_0_0_20170110225035898.jpg.chip.jpg,0,10,0,,,,
60,UTKFace\10_0_0_20170110225227587.jpg.chip.jpg,0,10,0,[ 10 117 248],[248 172 134],[194],"(0, 0, 678, 720)"
61,UTKFace\10_0_0_20170110225243501.jpg.chip.jpg,0,10,0,[ 11  90 223],[223 173 144],[187],"(0, 0, 713, 696)"
62,UTKFace\10_0_0_20170110225246490.jpg.chip.jpg,0,10,0,[ 16 114 210],[210 166 116],[179],"(104, 104, 621, 415)"
63,UTKFace\10_0_0_20170110225252799.jpg.chip.jpg,0,10,0,[  7 103 222],[222 153 132],[187],"(0, 0, 589, 672)"
64,UTKFace\10_0_0_20170110225402690.jpg.chip.jpg,0,10,0,[  9  75 219],[219 174 155],[170],"(0, 0, 654, 708)"
65,UTKFace\10_0_0_20170110225414790.jpg.chip.jpg,0,10,0,[  3  86 182],[182 127 121],[142],"(0, 0, 658, 713)"
66,UTKFace\10_0_0_20170110225417177.jpg.chip.jpg,0,10,0,[ 11  84 214],[214 169 144],[174],"(0, 0, 639, 674)"
67,UTKFace\10_0_0_20170110225421531.jpg.chip.jpg,0,10,0,[  5  60 213],[213 171 163],[192],"(0, 0, 614, 625)"
68,UTKFace\10_0_0_20170110225442428.jpg.chip.jpg,0,10,0,[  6  69 214],[214 168 156],[190],"(0, 0, 700, 711)"
69,UTKFace\10_0_0_20170110225444491.jpg.chip.jpg,0,10,0,[  4  53 195],[195 160 154],[186],"(0, 0, 688, 720)"
70,UTKFace\10_0_0_20170110225451638.jpg.chip.jpg,0,10,0,[ 10  42 218],[218 194 182],[200],"(0, 0, 581, 720)"
71,UTKFace\10_0_0_20170110225502403.jpg.chip.jpg,0,10,0,[  9 102 211],[211 152 127],[169],"(0, 0, 665, 698)"
72,UTKFace\10_0_0_20170110225505288.jpg.chip.jpg,0,10,0,[ 10  64 232],[232 193 174],[214],"(0, 0, 601, 651)"
73,UTKFace\10_0_0_20170110225518663.jpg.chip.jpg,0,10,0,[  8 131 129],[129  80  63],[95],"(0, 0, 645, 691)"
74,UTKFace\10_0_0_20170110225528484.jpg.chip.jpg,0,10,0,[  7 107 220],[220 149 128],[186],"(0, 0, 666, 682)"
75,UTKFace\10_0_0_20170110225537307.jpg.chip.jpg,0,10,0,[  5  80 180],[180 133 124],[165],"(0, 0, 676, 688)"
76,UTKFace\10_0_0_20170110225546130.jpg.chip.jpg,0,10,0,[ 10  49 215],[215 187 174],[205],"(0, 0, 640, 674)"
77,UTKFace\10_0_0_20170110225557604.jpg.chip.jpg,0,10,0,[ 14  99 237],[237 188 145],[198],"(0, 0, 667, 687)"
78,UTKFace\10_0_0_20170110225601897.jpg.chip.jpg,0,10,0,[ 10  82 220],[220 173 149],[202],"(0, 0, 678, 660)"
79,UTKFace\10_0_0_20170116201102149.jpg.chip.jpg,0,10,0,[ 10  61 132],[132 111 100],[110],"(0, 0, 597, 657)"
80,UTKFace\10_0_0_20170116201328751.jpg.chip.jpg,0,10,0,[  0   0 202],[202 202 202],[201],"(0, 0, 627, 675)"
81,UTKFace\10_0_0_20170116201337172.jpg.chip.jpg,0,10,0,[  0   0 225],[225 225 225],[226],"(0, 0, 690, 690)"
82,UTKFace\10_0_0_20170117135444407.jpg.chip.jpg,0,10,0,[  0   0 209],[209 209 209],[208],"(0, 0, 699, 654)"
83,UTKFace\10_0_0_20170117143048181.jpg.chip.jpg,0,10,0,[ 10  93 167],[167 126 106],[139],"(0, 0, 678, 707)"
84,UTKFace\10_0_0_20170117175625724.jpg.chip.jpg,0,10,0,[ 16  51 238],[238 216 190],[184],"(0, 0, 615, 706)"
85,UTKFace\10_0_0_20170120220628194.jpg.chip.jpg,0,10,0,[ 24  26 227],[227 222 204],[229],"(0, 0, 641, 669)"
86,UTKFace\10_0_1_20170104010841239.jpg.chip.jpg,0,10,1,[ 12 116 189],[189 137 103],[126],"(0, 0, 676, 686)"
87,UTKFace\10_0_1_20170110220507258.jpg.chip.jpg,0,10,1,[ 10 126 107],[107  72  54],[117],"(0, 0, 654, 703)"
88,UTKFace\10_0_1_20170110220523360.jpg.chip.jpg,0,10,1,,,,
89,UTKFace\10_0_1_20170110223455893.jpg.chip.jpg,0,10,1,[ 13 132 226],[226 160 109],[177],"(0, 0, 643, 688)"
90,UTKFace\10_0_1_20170110223848885.jpg.chip.jpg,0,10,1,[  8 140 210],[210 125  95],[151],"(0, 0, 702, 657)"
91,UTKFace\10_0_1_20170110225121326.jpg.chip.jpg,0,10,1,,,,
92,UTKFace\10_0_1_20170110225339066.jpg.chip.jpg,0,10,1,[ 10  92 237],[237 180 151],[207],"(0, 0, 637, 703)"
93,UTKFace\10_0_1_20170116225209209.jpg.chip.jpg,0,10,1,[  7 152 192],[192 104  78],[107],"(0, 0, 631, 665)"
94,UTKFace\10_0_2_20170110224230094.jpg.chip.jpg,0,10,2,[ 13  63 217],[217 187 163],[202],"(0, 0, 676, 710)"
95,UTKFace\10_0_2_20170116162109013.jpg.chip.jpg,0,10,2,[  9  49 222],[222 192 179],[168],"(0, 0, 638, 700)"
96,UTKFace\10_0_3_20161220215952636.jpg.chip.jpg,0,10,3,[ 14 102 237],[237 186 142],[129],"(0, 0, 625, 685)"
97,UTKFace\10_0_3_20170104225233504.jpg.chip.jpg,0,10,3,[ 15  45 236],[236 215 194],[163],"(0, 0, 697, 714)"
98,UTKFace\10_0_3_20170104225238736.jpg.chip.jpg,0,10,3,[ 27  61 201],[201 196 153],[186],"(0, 0, 720, 694)"
99,UTKFace\10_0_3_20170105175322885.jpg.chip.jpg,0,10,3,[ 12 150 181],[181 117  75],[109],"(0, 0, 696, 688)"
100,UTKFace\10_0_4_20161221192738446.jpg.chip.jpg,0,10,4,[ 12  61 217],[217 186 165],[193],"(0, 0, 720, 720)"
101,UTKFace\10_0_4_20170103200335831.jpg.chip.jpg,0,10,4,[ 13  87 239],[239 193 157],[197],"(0, 0, 656, 698)"
102,UTKFace\10_0_4_20170103200409638.jpg.chip.jpg,0,10,4,[ 11 105 203],[203 150 119],[174],"(0, 0, 686, 694)"
103,UTKFace\10_0_4_20170103200443015.jpg.chip.jpg,0,10,4,[  8 126 228],[228 145 115],[189],"(0, 0, 688, 671)"
104,UTKFace\10_0_4_20170103200501766.jpg.chip.jpg,0,10,4,[ 10  92 211],[211 160 135],[191],"(0, 0, 681, 720)"
105,UTKFace\10_0_4_20170103201924664.jpg.chip.jpg,0,10,4,[ 15  93 223],[223 182 142],[181],"(0, 0, 652, 670)"
106,UTKFace\10_0_4_20170103202338152.jpg.chip.jpg,0,10,4,[ 12  84 176],[176 141 118],[147],"(0, 0, 676, 674)"
107,UTKFace\10_0_4_20170103212521420.jpg.chip.jpg,0,10,4,[ 10  85 161],[161 125 107],[159],"(0, 0, 612, 703)"
108,UTKFace\10_0_4_20170103223451479.jpg.chip.jpg,0,10,4,[ 6 89 83],[83 60 54],[149],"(0, 0, 712, 678)"
109,UTKFace\10_0_4_20170104010810728.jpg.chip.jpg,0,10,4,,,,
110,UTKFace\10_1_0_20161220222001459.jpg.chip.jpg,1,10,0,[  7  98 210],[210 148 129],[166],"(0, 0, 675, 670)"
111,UTKFace\10_1_0_20170103175323250.jpg.chip.jpg,1,10,0,[ 11 107 185],[185 136 107],[150],"(0, 0, 618, 667)"
112,UTKFace\10_1_0_20170103200654246.jpg.chip.jpg,1,10,0,[  6  63 221],[221 177 166],[205],"(0, 0, 663, 720)"
113,UTKFace\10_1_0_20170109201728056.jpg.chip.jpg,1,10,0,[ 12  68 212],[212 178 155],[189],"(0, 0, 684, 712)"
114,UTKFace\10_1_0_20170109202251032.jpg.chip.jpg,1,10,0,[ 14  55 207],[207 183 162],[186],"(0, 0, 575, 706)"
115,UTKFace\10_1_0_20170109202346880.jpg.chip.jpg,1,10,0,[  8  57 224],[224 187 174],[218],"(0, 0, 625, 663)"
116,UTKFace\10_1_0_20170109203218966.jpg.chip.jpg,1,10,0,[ 10  76 207],[207 166 145],[177],"(0, 0, 654, 701)"
117,UTKFace\10_1_0_20170109203245653.jpg.chip.jpg,1,10,0,[ 10  75 219],[219 176 155],[194],"(0, 0, 662, 637)"
118,UTKFace\10_1_0_20170109203357787.jpg.chip.jpg,1,10,0,,,,
119,UTKFace\10_1_0_20170109203427416.jpg.chip.jpg,1,10,0,[ 14  49 240],[240 215 194],[220],"(0, 0, 644, 679)"
120,UTKFace\10_1_0_20170109203438428.jpg.chip.jpg,1,10,0,[  9  76 188],[188 149 132],[171],"(0, 0, 631, 649)"
121,UTKFace\10_1_0_20170109203501969.jpg.chip.jpg,1,10,0,[  8  95 196],[196 142 123],[123],"(0, 0, 680, 632)"
122,UTKFace\10_1_0_20170109203512075.jpg.chip.jpg,1,10,0,[ 10  66 220],[220 182 163],[133],"(0, 0, 719, 661)"
123,UTKFace\10_1_0_20170109203556029.jpg.chip.jpg,1,10,0,[  8  63 213],[213 174 160],[190],"(0, 0, 685, 714)"
124,UTKFace\10_1_0_20170109203608654.jpg.chip.jpg,1,10,0,[ 11  85 217],[217 171 145],[183],"(0, 0, 673, 684)"
125,UTKFace\10_1_0_20170109203642966.jpg.chip.jpg,1,10,0,[ 10  57 237],[237 202 184],[213],"(0, 0, 669, 657)"
126,UTKFace\10_1_0_20170109203653735.jpg.chip.jpg,1,10,0,[  5  75 227],[227 171 160],[197],"(0, 0, 630, 609)"
127,UTKFace\10_1_0_20170109203759972.jpg.chip.jpg,1,10,0,[ 14  28 235],[235 221 209],[231],"(0, 0, 660, 680)"
128,UTKFace\10_1_0_20170109203905538.jpg.chip.jpg,1,10,0,[  7  85 209],[209 156 139],[170],"(0, 0, 635, 666)"
129,UTKFace\10_1_0_20170109203917216.jpg.chip.jpg,1,10,0,[ 12 122 141],[141 101  74],[90],"(0, 0, 691, 680)"
130,UTKFace\10_1_0_20170109203924076.jpg.chip.jpg,1,10,0,[ 11  52 198],[198 172 158],[188],"(0, 0, 706, 707)"
131,UTKFace\10_1_0_20170109204148144.jpg.chip.jpg,1,10,0,[  8  56 215],[215 180 168],[200],"(0, 0, 641, 684)"
132,UTKFace\10_1_0_20170109204244904.jpg.chip.jpg,1,10,0,[ 14  93 205],[205 165 130],[175],"(0, 0, 708, 698)"
133,UTKFace\10_1_0_20170109204255055.jpg.chip.jpg,1,10,0,[ 12  98 155],[155 119  95],[141],"(0, 0, 665, 708)"
134,UTKFace\10_1_0_20170109204259563.jpg.chip.jpg,1,10,0,[ 14  90 212],[212 172 137],[180],"(0, 0, 690, 663)"
135,UTKFace\10_1_0_20170109204338404.jpg.chip.jpg,1,10,0,[ 12  95 163],[163 127 102],[142],"(0, 0, 619, 651)"
136,UTKFace\10_1_0_20170109204422889.jpg.chip.jpg,1,10,0,[  8  81 189],[189 145 129],[165],"(0, 0, 664, 707)"
137,UTKFace\10_1_0_20170109204435809.jpg.chip.jpg,1,10,0,[ 13  67 207],[207 176 153],[192],"(0, 0, 650, 680)"
138,UTKFace\10_1_0_20170109204502951.jpg.chip.jpg,1,10,0,[ 11  80 219],[219 175 150],[188],"(0, 0, 647, 718)"
139,UTKFace\10_1_0_20170109204617417.jpg.chip.jpg,1,10,0,[ 14  78 236],[236 197 164],[205],"(0, 0, 638, 666)"
140,UTKFace\10_1_0_20170109204746535.jpg.chip.jpg,1,10,0,[  8  79 150],[150 116 104],[92],"(0, 0, 635, 642)"
141,UTKFace\10_1_0_20170109204844109.jpg.chip.jpg,1,10,0,[  9 128 145],[145  94  72],[111],"(0, 0, 564, 683)"
142,UTKFace\10_1_0_20170109204859493.jpg.chip.jpg,1,10,0,[  9 123 183],[183 121  95],[140],"(0, 0, 665, 692)"
143,UTKFace\10_1_0_20170109204931156.jpg.chip.jpg,1,10,0,[  6  84 201],[201 148 135],[144],"(0, 0, 633, 650)"
144,UTKFace\10_1_0_20170109205003280.jpg.chip.jpg,1,10,0,[  7  84 228],[228 170 153],[200],"(0, 0, 691, 672)"
145,UTKFace\10_1_0_20170109205134282.jpg.chip.jpg,1,10,0,[  5  71 218],[218 167 157],[193],"(0, 0, 640, 635)"
146,UTKFace\10_1_0_20170109205141310.jpg.chip.jpg,1,10,0,[  3  85 205],[205 144 137],[176],"(0, 0, 633, 668)"
147,UTKFace\10_1_0_20170109205208368.jpg.chip.jpg,1,10,0,[174  60 221],[221 169 179],[194],"(0, 0, 704, 681)"
148,UTKFace\10_1_0_20170110220649364.jpg.chip.jpg,1,10,0,,,,
149,UTKFace\10_1_1_20170109202938302.jpg.chip.jpg,1,10,1,[ 11  90 212],[212 165 137],[176],"(0, 0, 691, 720)"
150,UTKFace\10_1_1_20170109203348828.jpg.chip.jpg,1,10,1,[ 14  64 185],[185 160 139],[167],"(0, 0, 651, 695)"
151,UTKFace\10_1_1_20170109203520178.jpg.chip.jpg,1,10,1,[ 10  67 231],[231 191 170],[217],"(0, 0, 672, 660)"
152,UTKFace\10_1_1_20170109203522559.jpg.chip.jpg,1,10,1,[ 13  98 155],[155 121  95],[88],"(21, 21, 639, 666)"
153,UTKFace\10_1_1_20170109204636561.jpg.chip.jpg,1,10,1,,,,
154,UTKFace\10_1_1_20170110225155603.jpg.chip.jpg,1,10,1,,,,
155,UTKFace\10_1_1_20170116225209209.jpg.chip.jpg,1,10,1,[  5 128 154],[154  90  77],[77],"(0, 0, 681, 681)"
156,UTKFace\10_1_1_20170117134313205.jpg.chip.jpg,1,10,1,[  9  91 238],[238 179 153],[196],"(0, 0, 682, 711)"
157,UTKFace\10_1_2_20170103201007646.jpg.chip.jpg,1,10,2,[ 20  97 204],[204 178 126],[171],"(0, 0, 678, 684)"
158,UTKFace\10_1_2_20170104005417671.jpg.chip.jpg,1,10,2,[ 18 151 217],[217 166  89],[193],"(0, 0, 697, 642)"
159,UTKFace\10_1_2_20170109201545634.jpg.chip.jpg,1,10,2,[  4  65 207],[207 161 154],[192],"(0, 0, 664, 700)"
160,UTKFace\10_1_2_20170109205037024.jpg.chip.jpg,1,10,2,[  9 105 160],[160 114  94],[131],"(0, 0, 652, 672)"
161,UTKFace\10_1_2_20170116175840105.jpg.chip.jpg,1,10,2,[ 14  71 186],[186 158 134],[178],"(0, 0, 717, 718)"
162,UTKFace\10_1_3_20170104221633430.jpg.chip.jpg,1,10,3,[  8  78 170],[170 132 118],[146],"(0, 0, 567, 652)"
163,UTKFace\10_1_3_20170104221645430.jpg.chip.jpg,1,10,3,[  8  83 194],[194 148 131],[163],"(0, 0, 627, 674)"
164,UTKFace\10_1_3_20170104221711437.jpg.chip.jpg,1,10,3,[ 13  99 139],[139 108  85],[140],"(0, 0, 718, 654)"
165,UTKFace\10_1_3_20170109203848078.jpg.chip.jpg,1,10,3,[ 12  87 214],[214 170 141],[182],"(0, 0, 630, 682)"
166,UTKFace\10_1_3_20170109205323078.jpg.chip.jpg,1,10,3,[  3  73 234],[234 174 167],[207],"(0, 0, 641, 672)"
167,UTKFace\10_1_3_20170112211048149.jpg.chip.jpg,1,10,3,[  7 120 130],[130  83  69],[85],"(0, 0, 720, 674)"
168,UTKFace\10_1_3_20170117144247699.jpg.chip.jpg,1,10,3,[161  76  94],[94 66 84],[82],"(0, 0, 687, 668)"
169,UTKFace\10_1_3_20170119150820222.jpg.chip.jpg,1,10,3,,,,
170,UTKFace\10_1_4_20161223225854867.jpg.chip.jpg,1,10,4,[  9  76 196],[196 155 138],[177],"(0, 0, 601, 663)"
171,UTKFace\10_1_4_20161223225900460.jpg.chip.jpg,1,10,4,[ 11 116 199],[199 142 108],[159],"(0, 0, 659, 690)"
172,UTKFace\10_1_4_20170103200950879.jpg.chip.jpg,1,10,4,,,,
173,UTKFace\10_1_4_20170104005649671.jpg.chip.jpg,1,10,4,,,,
174,UTKFace\10_1_4_20170117195152197.jpg.chip.jpg,1,10,4,[ 10 124 215],[215 145 110],[122],"(0, 0, 655, 692)"
175,UTKFace\110_0_0_20170112213500903.jpg.chip.jpg,0,110,0,,,,
176,UTKFace\110_0_2_20170112223734562.jpg.chip.jpg,0,110,2,,,,
177,UTKFace\110_1_0_20170120134701015.jpg.chip.jpg,1,110,0,[ 11  82 149],[149 119 101],[149],"(0, 0, 579, 634)"
178,UTKFace\110_1_1_20170110155201038.jpg.chip.jpg,1,110,1,[ 3  4 28],[28 28 28],[23],"(0, 0, 666, 706)"
179,UTKFace\110_1_3_20170110155139762.jpg.chip.jpg,1,110,3,,,,
180,UTKFace\111_1_0_20170120134646399.jpg.chip.jpg,1,111,0,,,,
181,UTKFace\115_1_0_20170120134725990.jpg.chip.jpg,1,115,0,,,,
182,UTKFace\115_1_0_20170120134725991.jpg.chip.jpg,1,115,0,,,,
183,UTKFace\115_1_1_20170112213257263.jpg.chip.jpg,1,115,1,[ 5 92 77],[77 54 49],[49],"(0, 0, 672, 676)"
184,UTKFace\116_1_0_20170112213001988.jpg.chip.jpg,1,116,0,[  8  99 189],[189 135 116],[125],"(0, 0, 590, 676)"
185,UTKFace\116_1_0_20170120134921760.jpg.chip.jpg,1,116,0,[172  32 210],[210 184 191],[136],"(0, 0, 593, 674)"
186,UTKFace\116_1_2_20170112220255503.jpg.chip.jpg,1,116,2,,,,
187,UTKFace\116_1_3_20170120134744096.jpg.chip.jpg,1,116,3,[ 11 124 178],[178 123  91],[111],"(0, 0, 653, 692)"
188,UTKFace\11_0_0_20170103200509559.jpg.chip.jpg,0,11,0,[  3  51 235],[235 193 188],[213],"(0, 0, 676, 708)"
189,UTKFace\11_0_0_20170103200824775.jpg.chip.jpg,0,11,0,,,,
190,UTKFace\11_0_0_20170104012556563.jpg.chip.jpg,0,11,0,[  3  98 198],[198 130 122],[152],"(0, 0, 670, 701)"
191,UTKFace\11_0_0_20170110220408722.jpg.chip.jpg,0,11,0,[  8  54 229],[229 193 181],[201],"(0, 0, 620, 685)"
192,UTKFace\11_0_0_20170110220453002.jpg.chip.jpg,0,11,0,[  9  56 229],[229 194 179],[210],"(0, 0, 682, 720)"
193,UTKFace\11_0_0_20170110220500946.jpg.chip.jpg,0,11,0,[ 11  56 230],[230 198 179],[94],"(0, 0, 633, 677)"
194,UTKFace\11_0_0_20170110220518578.jpg.chip.jpg,0,11,0,[ 15  75 205],[205 175 145],[178],"(0, 0, 720, 690)"
195,UTKFace\11_0_0_20170110220657089.jpg.chip.jpg,0,11,0,[117  45 207],[170 174 207],[178],"(0, 0, 698, 720)"
196,UTKFace\11_0_0_20170110220710576.jpg.chip.jpg,0,11,0,[  2  57 194],[194 154 151],[189],"(0, 0, 647, 714)"
197,UTKFace\11_0_0_20170110224233654.jpg.chip.jpg,0,11,0,,,,
198,UTKFace\11_0_0_20170110224340941.jpg.chip.jpg,0,11,0,[  7  90 212],[212 155 137],[182],"(0, 0, 656, 656)"
199,UTKFace\11_0_0_20170110224408700.jpg.chip.jpg,0,11,0,,,,
200,UTKFace\11_0_0_20170110224505551.jpg.chip.jpg,0,11,0,[ 12  95 224],[224 174 141],[186],"(0, 0, 670, 693)"
201,UTKFace\11_0_0_20170110224606036.jpg.chip.jpg,0,11,0,[ 16  69 245],[245 214 179],[223],"(0, 0, 624, 644)"
202,UTKFace\11_0_0_20170110224742037.jpg.chip.jpg,0,11,0,[  7  87 213],[213 157 140],[142],"(0, 0, 598, 711)"
203,UTKFace\11_0_0_20170110224755272.jpg.chip.jpg,0,11,0,[ 12  79 194],[194 158 134],[165],"(0, 0, 621, 692)"
204,UTKFace\11_0_0_20170110225254975.jpg.chip.jpg,0,11,0,[ 12  90 193],[193 152 125],[183],"(0, 0, 708, 670)"
205,UTKFace\11_0_0_20170110225327724.jpg.chip.jpg,0,11,0,[ 12  78 217],[217 177 151],[190],"(0, 0, 673, 685)"
206,UTKFace\11_0_0_20170110225435539.jpg.chip.jpg,0,11,0,[ 11  79 217],[217 174 150],[180],"(0, 0, 577, 666)"
207,UTKFace\11_0_0_20170110225459361.jpg.chip.jpg,0,11,0,[ 11  91 158],[158 122 102],[144],"(0, 0, 652, 668)"
208,UTKFace\11_0_0_20170110232511893.jpg.chip.jpg,0,11,0,[ 12  94 220],[220 171 139],[182],"(0, 0, 704, 665)"
209,UTKFace\11_0_1_20170103201136230.jpg.chip.jpg,0,11,1,[ 11 108 189],[189 138 109],[166],"(193, 193, 578, 280)"
210,UTKFace\11_0_2_20170103200847287.jpg.chip.jpg,0,11,2,[ 11  93 200],[200 154 127],[186],"(0, 0, 644, 704)"
